index,name,primaryMuscles,instructions
131,Barbell Hack Squat,quadriceps,"['Stand up straight while holding a barbell behind you at arms length and your feet at shoulder width. Tip: A shoulder width grip is best with the palms of your hands facing back. You can use wrist wraps for this exercise for a better grip. This will be your starting position.', 'While keeping your head and eyes up and back straight, squat until your upper thighs are parallel to the floor. Breathe in as you slowly go down.', 'Pressing mainly with the heel of the foot and squeezing the thighs, go back up as you breathe out.', 'Repeat for the recommended amount of repetitions.']"
132,Barbell Lunge,quadriceps,"['This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack just below shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.', 'Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.', 'Step away from the rack and step forward with your right leg and squat down through your hips, while keeping the torso upright and maintaining balance. Inhale as you go down. Note: Do not allow your knee to go forward beyond your toes as you come down, as this will put undue stress on the knee joint. li>', 'Using mainly the heel of your foot, push up and go back to the starting position as you exhale.', 'Repeat the movement for the recommended amount of repetitions and then perform with the left leg.']"
133,Barbell Side Split Squat,quadriceps,"['Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck). Your feet should be placed wide apart with the foot of the lead leg angled out to the side. This will be your starting position.', 'Lower your body towards the side of your angled foot by bending the knee and hip of your lead leg and while keeping the opposite leg only slightly bent. Breathe in as you lower your body.', 'Return to the starting position by extending the hip and knee of the lead leg. Breathe out as you perform this movement.', 'After performing the recommended amount of reps, repeat the movement with the opposite leg.']"
134,Barbell Squat,quadriceps,"['This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack to just below shoulder level. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.', 'Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.', 'Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times and also maintain a straight back. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances discussed in the foot stances section).', 'Begin to slowly lower the bar by bending the knees and hips as you maintain a straight posture with the head up. Continue down until the angle between the upper leg and the calves becomes slightly less than 90-degrees. Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly.', 'Begin to raise the bar as you exhale by pushing the floor with the heel of your foot as you straighten the legs again and go back to the starting position.', 'Repeat for the recommended amount of repetitions.']"
135,Barbell Squat To A Bench,quadriceps,"['This exercise is best performed inside a squat rack for safety purposes. To begin, first place a flat bench or a box behind you. The flat bench is used to teach you to set your hips back and to hit depth.', '', 'Then, set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.', 'Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.', 'Step away from the rack and position your legs using a shoulder width medium stance with the toes slightly pointed out. Keep your head up at all times as looking down will get you off balance and also maintain a straight back. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances discussed in the foot stances section).', 'Begin to slowly lower the bar by bending the knees and sitting your hips back as you maintain a straight posture with the head up. Continue down until you slightly touch the bench behind you. Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly.', 'Begin to raise the bar as you exhale by pushing the floor with the heel of your foot as you straighten the legs and extend the hips to go back to the starting position.', 'Repeat for the recommended amount of repetitions.']"
136,Barbell Step Ups,quadriceps,"['Stand up straight while holding a barbell placed on the back of your shoulders (slightly below the neck) and stand upright behind an elevated platform (such as the one used for spotting behind a flat bench). This is your starting position.', 'Place the right foot on the elevated platform. Step on the platform by extending the hip and the knee of your right leg. Use the heel mainly to lift the rest of your body up and place the foot of the left leg on the platform as well. Breathe out as you execute the force required to come up.', 'Step down with the left leg by flexing the hip and knee of the right leg as you inhale. Return to the original standing position by placing the right foot of to next to the left foot on the initial position.', 'Repeat with the right leg for the recommended amount of repetitions and then perform with the left leg.']"
137,Alternating Cable Shoulder Press,shoulders,"['Move the cables to the bottom of the tower and select an appropriate weight.', 'Grasp the cables and hold them at shoulder height, palms facing forward. This will be your starting position.', 'Keeping your head and chest up, extend through the elbow to press one side directly over head.', 'After pausing at the top, return to the starting position and repeat on the opposite side.']"
138,Alternating Deltoid Raise,shoulders,"['In a standing position, hold a pair of dumbbells at your side.', 'Keeping your elbows slightly bent, raise the weights directly in front of you to shoulder height, avoiding any swinging or cheating.', 'Return the weights to your side.', 'On the next repetition, raise the weights laterally, raising them out to your side to about shoulder height.', 'Return the weights to the starting position and continue alternating to the front and side.']"
139,Alternating Kettlebell Press,shoulders,"['Clean two kettlebells to your shoulders. Clean the kettlebells to your shoulders by extending through the legs and hips as you pull the kettlebells towards your shoulders. Rotate your wrists as you do so.', 'Press one directly overhead by extending through the elbow, turning it so the palm faces forward while holding the other kettlebell stationary .', 'Lower the pressed kettlebell to the starting position and immediately press with your other arm.']"
140,Anti-Gravity Press,shoulders,"['Place a bar on the ground behind the head of an incline bench.', 'Lay on the bench face down. With a pronated grip, pick the barbell up from the floor. Flex the elbows, performing a reverse curl to bring the bar near your chest. This will be your starting position.', 'To begin, press the barbell out in front of your head by extending your elbows. Keep your arms parallel to the ground throughout the movement.', 'Return to the starting position and repeat to complete the set.']"
141,Arm Circles,shoulders,"['Stand up and extend your arms straight out by the sides. The arms should be parallel to the floor and perpendicular (90-degree angle) to your torso. This will be your starting position.', 'Slowly start to make circles of about 1 foot in diameter with each outstretched arm. Breathe normally as you perform the movement.', 'Continue the circular motion of the outstretched arms for about ten seconds. Then reverse the movement, going the opposite direction.']"
142,Arnold Dumbbell Press,shoulders,"['Sit on an exercise bench with back support and hold two dumbbells in front of you at about upper chest level with your palms facing your body and your elbows bent. Tip: Your arms should be next to your torso. The starting position should look like the contracted portion of a dumbbell curl.', 'Now to perform the movement, raise the dumbbells as you rotate the palms of your hands until they are facing forward.', 'Continue lifting the dumbbells until your arms are extended above you in straight arm position. Breathe out as you perform this portion of the movement.', 'After a second pause at the top, begin to lower the dumbbells to the original position by rotating the palms of your hands towards you. Tip: The left arm will be rotated in a counter clockwise manner while the right one will be rotated clockwise. Breathe in as you perform this portion of the movement.', 'Repeat for the recommended amount of repetitions.']"
143,Back Flyes - With Bands,shoulders,"['Run a band around a stationary post like that of a squat rack.', 'Grab the band by the handles and stand back so that the tension in the band rises.', 'Extend and lift the arms straight in front of you. Tip: Your arms should be straight and parallel to the floor while perpendicular to your torso. Your feet should be firmly planted on the floor spread at shoulder width. This will be your starting position.', 'As you exhale, move your arms to the sides and back. Keep your arms extended and parallel to the floor. Continue the movement until the arms are extended to your sides.', 'After a pause, go back to the original position as you inhale.', 'Repeat for the recommended amount of repetitions.']"
144,Backward Medicine Ball Throw,shoulders,"['This exercise is best done with a partner. If you lack a partner, the ball can be thrown and retrieved or thrown against a wall.', 'Begin standing a few meters in front of your partner, both facing the same direction. Begin holding the ball between your legs.', 'Squat down and then forcefully reverse direction, coming to full extension and you toss the ball over your head to your partner.', 'Your partner can then roll the ball back to you. Repeat for the desired number of repetitions.']"
145,Band Pull Apart,shoulders,"['Begin with your arms extended straight out in front of you, holding the band with both hands.', 'Initiate the movement by performing a reverse fly motion, moving your hands out laterally to your sides.', 'Keep your elbows extended as you perform the movement, bringing the band to your chest. Ensure that you keep your shoulders back during the exercise.', 'Pause as you complete the movement, returning to the starting position under control.']"
146,Barbell Incline Shoulder Raise,shoulders,"['Lie back on an Incline Bench. Using a medium width grip (a grip that is slightly wider than shoulder width), lift the bar from the rack and hold it straight over you with your arms straight. This will be your starting position.', 'While keeping the arms straight, lift the bar by protracting your shoulder blades, raising the shoulders from the bench as you breathe out.', 'Bring back the bar to the starting position as you breathe in.', 'Repeat for the recommended amount of repetitions.']"
147,Barbell Shrug,traps,"['Stand up straight with your feet at shoulder width as you hold a barbell with both hands in front of you using a pronated grip (palms facing the thighs). Tip: Your hands should be a little wider than shoulder width apart. You can use wrist wraps for this exercise for a better grip. This will be your starting position.', 'Raise your shoulders up as far as you can go as you breathe out and hold the contraction for a second. Tip: Refrain from trying to lift the barbell by using your biceps.', 'Slowly return to the starting position as you breathe in.', 'Repeat for the recommended amount of repetitions.']"
148,Barbell Shrug Behind The Back,traps,"['Stand up straight with your feet at shoulder width as you hold a barbell with both hands behind your back using a pronated grip (palms facing back). Tip: Your hands should be a little wider than shoulder width apart. You can use wrist wraps for this exercise for better grip. This will be your starting position.', 'Raise your shoulders up as far as you can go as you breathe out and hold the contraction for a second. Tip: Refrain from trying to lift the barbell by using your biceps. The arms should remain stretched out at all times.', 'Slowly return to the starting position as you breathe in.', 'Repeat for the recommended amount of repetitions.']"
149,Cable Shrugs,traps,"['Grasp a cable bar attachment that is attached to a low pulley with a shoulder width or slightly wider overhand (palms facing down) grip.', 'Stand erect close to the pulley with your arms extended in front of you holding the bar. This will be your starting position.', 'Lift the bar by elevating the shoulders as high as possible as you exhale. Hold the contraction at the top for a second. Tip: The arms should remain extended at all times. Refrain from using the biceps to help lift the bar. Only the shoulders should be moving up and down.', 'Lower the bar back to the original position.', 'Repeat for the recommended amount of repetitions.']"
150,Calf-Machine Shoulder Shrug,traps,"['Position yourself on the calf machine so that the shoulder pads are above your shoulders. Your torso should be straight with the arms extended normally by your side. This will be your starting position.', 'Raise your shoulders up towards your ears as you exhale and hold the contraction for a full second.', 'Slowly return to the starting position as you inhale.', 'Repeat for the recommended amount of repetitions.']"
151,Clean Shrug,traps,"['Begin with a shoulder width, double overhand or hook grip, with the bar hanging at the mid thigh position. Your back should be straight and inclined slightly forward.', 'Shrug your shoulders towards your ears. While this exercise can usually by loaded with heavier weight than a clean, avoid overloading to the point that the execution slows down.']"
152,Dumbbell Shrug,traps,"['Stand erect with a dumbbell on each hand (palms facing your torso), arms extended on the sides.', 'Lift the dumbbells by elevating the shoulders as high as possible while you exhale. Hold the contraction at the top for a second. Tip: The arms should remain extended at all times. Refrain from using the biceps to help lift the dumbbells. Only the shoulders should be moving up and down.', 'Lower the dumbbells back to the original position.', 'Repeat for the recommended amount of repetitions.']"
153,Kettlebell Sumo High Pull,traps,"['Place a kettlebell on the ground between your feet. Position your feet in a wide stance, and grasp the kettlebell with two hands. Set your hips back as far as possible, with your knees bent. Keep your chest and head up. This will be your starting position.', 'Begin by extending the hips and knees, simultaneously pulling the kettlebell to your shoulders, raising your elbows as you do so. Reverse the motion to return to the starting position.']"
154,Leverage Shrug,traps,"['Load the pins to an appropriate weight. Position yourself directly between the handles.', 'Grasp the top handles with a comfortable grip, and then lower your hips as you take a breath. Look forward with your head and keep your chest up.', 'Drive through the floor with your heels, extending your hips and knees as you rise to a standing position. Keep your arms straight throughout the movement, finishing with your shoulders back. This will be your starting position.', 'Raise the weight by shrugging the shoulders towards your ears, moving straight up and down.', 'Pause at the top of the motion, and then return the weight to the starting position.']"
155,Scapular Pull-Up,traps,"['Take a pronated grip on a pull-up bar.', 'From a hanging position, raise yourself a few inches without using your arms. Do this by depressing your shoulder girdle in a reverse shrugging motion.', 'Pause at the completion of the movement, and then slowly return to the starting position before performing more repetitions.']"
156,Smith Machine Behind the Back Shrug,traps,"['With the bar at thigh level, load an appropriate weight.', 'Stand with the bar behind you, taking a shoulder-width, pronated grip on the bar and unhook the weight. You should be standing up straight with your head and chest up and your arms extended. This will be your starting position.', 'Initiate the movement by shrugging your shoulders straight up. Do not flex the arms or wrist during the movement.', 'After a brief pause return the weight to the starting position.', 'Repeat for the desired number of repetitions before engaging the hooks to rack the weight.']"
157,Band Skull Crusher,triceps,"['Secure a band to the base of a rack or the bench. Lay on the bench so that the band is lined up with your head.', 'Take hold of the band, raising your elbows so that the upper arm is perpendicular to the floor. With the elbow flexed, the band should be above your head. This will be your starting position.', 'Extend through the elbow to straighten your arm, keeping your upper arm in place. Pause at the top of the motion, and return to the starting position.']"
158,Bench Dips,triceps,"['For this exercise you will need to place a bench behind your back. With the bench perpendicular to your body, and while looking away from it, hold on to the bench on its edge with the hands fully extended, separated at shoulder width. The legs will be extended forward, bent at the waist and perpendicular to your torso. This will be your starting position.', 'Slowly lower your body as you inhale by bending at the elbows until you lower yourself far enough to where there is an angle slightly smaller than 90 degrees between the upper arm and the forearm. Tip: Keep the elbows as close as possible throughout the movement. Forearms should always be pointing down.', 'Using your triceps to bring your torso up again, lift yourself back to the starting position.', 'Repeat for the recommended amount of repetitions.']"
159,Bench Press - Powerlifting,triceps,"['Begin by lying on the bench, getting your head beyond the bar if possible. Tuck your feet underneath you and arch your back. Using the bar to help support your weight, lift your shoulder off the bench and retract them, squeezing the shoulder blades together. Use your feet to drive your traps into the bench. Maintain this tight body position throughout the movement.', 'However wide your grip, it should cover the ring on the bar. Pull the bar out of the rack without protracting your shoulders. Focus on squeezing the bar and trying to pull it apart.', 'Lower the bar to your lower chest or upper stomach. The bar, wrist, and elbow should stay in line at all times.', 'Pause when the barbell touches your torso, and then drive the bar up with as much force as possible. The elbows should be tucked in until lockout.']"
160,Bench Press with Chains,triceps,"['Adjust the leader chain, shortening it to the desired length.Place the chains on the sleeves of the bar.', 'Lying on the bench, get your head beyond the bar if possible. Tuck your feet underneath you and arch your back. Using the bar to help support your weight, lift your shoulder off the bench and retract them, squeezing the shoulder blades together. Use your feet to drive your traps into the bench. Maintain this tight body position throughout the movement. However wide your grip, it should cover the ring on the bar.', 'Pull the bar out of the rack without protracting your shoulders. Focus on squeezing the bar and trying to pull it apart. Lower the bar to your lower chest or upper stomach. The bar, wrist, and elbow should stay in line at all times.', 'Pause when the barbell touches your torso, and then drive the bar up with as much force as possible. The elbows should be tucked in until lockout.']"
161,Board Press,triceps,"[""Begin by lying on the bench, getting your head beyond the bar if possible. One to five boards, made out of 2x6's, can be screwed together and held in place by a training partner, bands, or just tucked under your shirt."", 'Tuck your feet underneath you and arch your back. Using the bar to help support your weight, lift your shoulder off the bench and retract them, squeezing the shoulder blades together. Use your feet to drive your traps into the bench. Maintain this tight body position throughout the movement.', 'You can take a standard bench grip, or shoulder width to focus on the triceps. Pull the bar out of the rack without protracting your shoulders. The bar, wrist, and elbow should stay in line at all times. Focus on squeezing the bar and trying to pull it apart.', 'Lower the bar to the boards, and then drive the bar up with as much force as possible. The elbows should be tucked in until lockout.']"
162,Body-Up,triceps,"['Assume a plank position on the ground. You should be supporting your bodyweight on your toes and forearms, keeping your torso straight. Your forearms should be shoulder-width apart. This will be your starting position.', 'Pressing your palms firmly into the ground, extend through the elbows to raise your body from the ground. Keep your torso rigid as you perform the movement.', 'Slowly lower your forearms back to the ground by allowing the elbows to flex.', 'Repeat.']"
163,Body Tricep Press,triceps,"['Position a bar in a rack at chest height.', 'Standing, take a shoulder width grip on the bar and step a yard or two back, feet together and arms extended so that you are leaning on the bar. This will be your starting position.', 'Begin by flexing the elbow, lowering yourself towards the bar.', 'Pause, and then reverse the motion by extending the elbows.', 'Progress from bodyweight by adding chains over your shoulders.']"
164,Cable Incline Triceps Extension,triceps,"['Lie on incline an bench facing away from a high pulley machine that has a straight bar attachment on it.', 'Grasp the straight bar attachment overhead with a pronated (overhand; palms down) narrow grip (less than shoulder width) and keep your elbows tucked in to your sides. Your upper arms should create around a 25 degree angle when measured from the floor.', 'Keeping the upper arms stationary, extend the arms as you flex the triceps. Breathe out during this portion of the movement and hold the contraction for a second.', 'Slowly go back to the starting position.', 'Repeat for the recommended amount of repetitions.']"
165,Cable Lying Triceps Extension,triceps,"['Lie on a flat bench and grasp the straight bar attachment of a low pulley with a narrow overhand grip. Tip: The easiest way to do this is to have someone hand you the bar as you lay down.', 'With your arms extended, position the bar over your torso. Your arms and your torso should create a 90-degree angle. This will be your starting position.', 'Lower the bar by bending at the elbow while keeping the upper arms stationary and elbows in. Go down until the bar lightly touches your forehead. Breathe in as you perform this portion of the movement.', 'Flex the triceps as you lift the bar back to its starting position. Exhale as you perform this portion of the movement.', 'Hold for a second at the contracted position and repeat for the recommended amount of repetitions.']"
166,Cable One Arm Tricep Extension,triceps,"['With your right hand, grasp a single handle attached to the high-cable pulley using a supinated (underhand; palms facing up) grip. You should be standing directly in front of the weight stack.', 'Now pull the handle down so that your upper arm and elbow are locked in to the side of your body. Your upper arm and forearm should form an acute angle (less than 90-degrees). You can keep the other arm by the waist and you can have one leg in front of you and the other one back for better balance. This will be your starting position.', 'As you contract the triceps, move the single handle attachment down to your side until your arm is straight. Breathe out as you perform this movement. Tip: Only the forearms should move. Your upper arms should remain stationary at all times.', 'Squeeze the triceps and hold for a second in this contracted position.', 'Slowly return the handle to the starting position.', 'Repeat for the recommended amount of repetitions and then perform the same movement with the other arm.']"
